state,TL,TC,TR,ML,MC,MR,BL,BC,BR
_+_+_+_+X+_+X+ +O,0.4043589027211585,0.39430323658053495,0.8299274565857513,0.393970770711898,0.0,0.5666142553975255,0.0,0.30710374071505736,0.0
_+_+_+_+X+_+X+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8828148216510927,0.0608264534325074
_+X+_+X+X+_+ +O+O,0.3334750957896475,0.0,0.7748691163018191,0.0,0.0,0.8999999999262733,0.9999999999999998,0.0,0.0
_+X+_+X+X+_+O+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X+O+_+_+_+X+ +X+O,0.0,0.0,0.31888506347038714,0.4304240049462511,0.4163687966488426,0.0,0.4499999999999748,0.0,0.0
X+O+_+_+X+X+O+X+O,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0
X+O+_+O+X+X+O+X+O,0.0,0.18000000000000002,0.0,0.3951424000000001,0.0,0.0,0.18000000000000002,0.0,0.0
X+O+_+_+_+X+O+X+O,0.0,0.13105267200000004,0.0,0.0,0.0,0.0,0.17936386560000006,0.0,0.018000000000000002
_+O+_+_+_+X+ +X+O,0.0,0.043838784000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.05390968320000001
_+_+_+X+_+_+ +X+O,0.7011208303862133,0.6492919460782077,0.8792370090160111,0.0,0.8265617393774438,0.8045374008096994,0.6284422621039513,0.0,0.0
_+X+X+X+O+O+O+X+O,0.0,0.0,0.0,0.0,0.9926213023705164,0.67232,0.488,0.0,0.0
_+_+X+X+O+_+O+X+O,0.0,0.0,0.0,0.0,0.20555740826829327,0.0,0.10625126400000004,0.0,0.0
_+_+_+X+_+_+O+X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.4513078187327589,0.0,0.03611566080000002
_+X+_+X+_+_+O+X+O,0.7159587037311868,0.0,0.32716733277163274,0.0,0.8999999999999997,0.2467815828794905,0.0,0.0,0.0
_+X+_+X+_+O+O+X+O,0.0,0.0,0.0,0.0,0.0,0.8524086558844834,0.14225126400000002,0.0,0.0
_+X+X+X+_+O+O+ +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
